'JobNumber','OperationSeq','LineType','ComponentItemNumber','DrawingVersion','Description1','Description2','Location','BinNumber','BOMQty','StockingUOM','FlatUnit','Lotsize','Yield','QtyRequired','QtyIssued','UnitCost','CommitToProdDone?','Backflush','BOMReference','PhantomItemNumber','PhantomUniqueID','SupplyType','SupplyNo','SeqOrderBy','Status','QtyPendingPost','ClosedStatus','SupplierID','ComponentVersion','OverheadUnitCost','QtyMoved','SubstituteCode','SubstituteLinkUniqueID','UniqueID','AuditUser','AuditDate','AuditTime','CreatedFromPO','CreatedFromVoucher','DisplayOnShipBOM','DfltShipGroupNo.','JobTxt.StdTextID','BOMText','StandardText'
'A0004904',00001,'MT','.026159','','FLAT BAR ALUMINUM 3/16 X 1 1/2 6061-T6','','W1','',0.70000,'FT','U',1.00000,100.000,1.40000,0.00000,1.24000000,True,No,'','',0,'','',10,'0',0.00000,'','','',0.00000,0.00000,'',0,528562,'PAT',07/30/2019,12:27:07,'','','N','','','',''
'S/N10330',10005,'MT','.064992','','SOLENOID VALVE AIR/ELECTRIC 3 WAY 12 VDC','4HN52','W1','A7E2',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,88.38000000,True,No,'','',0,'','',10,'0',0.00000,'','','',0.00000,0.00000,'',0,753887,'',07/08/2019,09:20:53,'','','N','','','',''
'S/N10330',10005,'MT','.069847','','DIN CONNECTOR W/LED 2291.3301','','W1','A9A3',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,4.76000000,True,No,'','',0,'','',20,'0',0.00000,'','','',0.00000,0.00000,'',0,753888,'',07/08/2019,09:20:54,'','','N','','','',''
'S/N10330',10005,'MT','.058218','','ANGLE FOR SOLENOID VALVE MOUNTING','','W1','A3A2',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,1.37000000,True,No,'','',0,'','',30,'0',0.00000,'','','',0.00000,0.00000,'',0,753889,'',07/08/2019,09:20:54,'','','N','','','',''
'S/N10330',10010,'DW','B103217 A62 STOCK','','GENERAL ARRANGEMENT A62 10321','','','',1.00000,'','F',1.00000,100.000,1.00000,0.00000,0.00000000,True,No,'','',0,'','',10,'0',0.00000,'','','',0.00000,0.00000,'',0,753890,'PAT',12/20/2018,16:54:09,'','','N','','','',''
'S/N10330',10010,'MT','.102751','','SUBRAME WELDMENT A52 S/N 10330','','W1','FRAME SHOP',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,5293.50000000,True,No,'','',0,'','',20,'0',0.00000,'','','',0.00000,0.00000,'',0,753891,'',05/08/2019,16:13:08,'','','N','','','',''
'S/N10330',10010,'MT','.061706','','MOUNTING CLIP 1/2  100K STEEL','','W1','F1C',10.00000,'EA','U',1.00000,100.000,10.00000,10.00000,23.65000000,True,No,'','',0,'','',30,'0',0.00000,'','','',0.00000,0.00000,'',0,753892,'',06/25/2019,14:48:17,'','','N','','','',''
'S/N10330',10010,'MT','.069306','','MOUNTING CLIP 3/4 100K STEEL','','W1','F1C',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,50.00000000,True,No,'','',0,'','',40,'0',0.00000,'','','',0.00000,0.00000,'',0,753893,'',06/25/2019,14:48:18,'','','N','','','',''
'S/N10330',10010,'MT','.064072','','HUCK BOLT HP8F-DT24-28','','W1','C3C',36.00000,'EA','U',1.00000,100.000,36.00000,8.00000,2.19000000,True,No,'','',0,'','',50,'0',0.00000,'','','',0.00000,0.00000,'',0,753894,'',07/15/2019,15:23:12,'','','N','','','',''
'S/N10330',10010,'MT','.064073','','HUCK COLLAR HPCF-R24UXL','','W1','C3C',36.00000,'EA','U',1.00000,100.000,36.00000,37.00000,1.20000000,True,No,'','',0,'','',60,'0',0.00000,'','','',0.00000,0.00000,'',0,753895,'',07/16/2019,15:49:24,'','','N','','','',''
'S/N10330',10010,'MT','.093944','','PEDESTAL WELDMENT A52/62/75  34" FRAME','','W1','FRAME SHOP',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,1933.50000000,True,No,'','',0,'','',70,'0',0.00000,'','','',0.00000,0.00000,'',0,753896,'',05/08/2019,16:13:09,'','','N','','','',''
'S/N10330',10010,'MT','.064071','','HUCK BOLT HP8F-DT24-20','','W1','',0.00000,'EA','F',1.00000,100.000,0.00000,1.00000,1.64000000,True,No,'','',0,'','',5200000,'0',0.00000,'','','',0.00000,0.00000,'',0,765745,'',07/16/2019,15:49:24,'','','','','','',''
'S/N10330',10011,'MT','.067306','','MOUNTING BAR 1/2 X 2 FB X 17" LG','','W1','FRAME SHOP',6.00000,'EA','U',1.00000,100.000,6.00000,6.00000,32.76000000,True,No,'','',0,'','',10,'0',0.00000,'','','',0.00000,0.00000,'',0,753897,'',04/25/2019,15:54:53,'','','N','','','',''
'S/N10330',10011,'MT','.063705','','SIDE MARKER LIGHT COVER  LB383','','W1','FRAME SHOP',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,16.48000000,True,No,'','',0,'','',20,'0',0.00000,'','','',0.00000,0.00000,'',0,753898,'',04/25/2019,15:54:53,'','','N','','','',''
'S/N10330',10011,'MT','.066421','','HAND RAIL-12" HEIGHT','','W1','FRAME SHOP',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,22.00000000,True,No,'','',0,'','',30,'0',0.00000,'','','',0.00000,0.00000,'',0,753899,'',04/25/2019,15:54:54,'','','N','','','',''
'S/N10330',10011,'MT','.062479','','MUD FLAP PLATE 10GA X 10 X 24','','W1','FRAME SHOP',4.00000,'EA','U',1.00000,100.000,4.00000,4.00000,25.01000000,True,No,'','',0,'','',40,'0',0.00000,'','','',0.00000,0.00000,'',0,753901,'',04/25/2019,15:54:54,'','','N','','','',''
'S/N10330',10015,'DW','B093638','','REAR COUNTERWEIGHT ASSEMBLY CYLINDER','AND CHAIN','','',1.00000,'','F',1.00000,100.000,1.00000,0.00000,0.00000000,True,No,'','',0,'','',10,'0',0.00000,'','','',0.00000,0.00000,'',0,753902,'PAT',12/20/2018,16:54:09,'','','N','','','',''
'S/N10330',10015,'DW','B093641','','REAR COUNTERWEIGHT ASSEMBLY CYLINDER','AND TEST FRAME','','',1.00000,'','F',1.00000,100.000,1.00000,0.00000,0.00000000,True,No,'','',0,'','',20,'0',0.00000,'','','',0.00000,0.00000,'',0,753903,'PAT',12/20/2018,16:54:09,'','','N','','','',''
'S/N10330',10015,'DW','B093623','','ASSEMBLY COUNTERWEIGHT CYLINDER','AND SPROCKETS','','',1.00000,'','F',1.00000,100.000,1.00000,0.00000,0.00000000,True,No,'','',0,'','',30,'0',0.00000,'','','',0.00000,0.00000,'',0,753904,'PAT',12/20/2018,16:54:09,'','','N','','','',''
'S/N10330',10015,'MT','.093602','','CYLINDER COUNTERWEIGHT 4 X 30 X 2.25','','W1','OS GARAGE',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,1626.00000000,True,No,'','',0,'','',40,'0',0.00000,'','','',0.00000,0.00000,'',0,753905,'',06/25/2019,14:48:19,'','','N','','','',''
'S/N10330',10015,'MT','.093633','','SLIDING COUNTERWEIGHT CARRIER WELDMENT','','W1','OUTSIDE FENCE',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,2734.00000000,True,No,'','',0,'','',50,'0',0.00000,'','','',0.00000,0.00000,'',0,753906,'',06/25/2019,14:48:19,'','','N','','','',''
'S/N10330',10015,'MT','.093646','','COUNTER WEIGHT COVER PLATE','','W1','OUTSIDE FENCE',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,29.86000000,True,No,'','',0,'','',60,'0',0.00000,'','','',0.00000,0.00000,'',0,753907,'',06/25/2019,14:48:20,'','','N','','','',''
'S/N10330',10015,'MT','.093622','','SLIDER PAD CTWT CYLINDER 1" X 3" UHMW','','W1','M1B',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,28.79000000,True,No,'','',0,'','',80,'0',0.00000,'','','',0.00000,0.00000,'',0,753909,'',06/25/2019,14:48:20,'','','N','','','',''
'S/N10330',10015,'MT','.093610','','SLIDING COUNTERWEIGHT WELDMENT CYLINDER','7,235 LB','W1','OUTSIDE FENCE',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,5352.68000000,True,No,'','',0,'','',81,'0',0.00000,'','','',0.00000,0.00000,'',0,754821,'',06/05/2019,13:31:04,'','','N','','','',''
'S/N10330',10015,'MT','.064137','','BEARING DX 2 1/2 X 1 1/2','40MXR24','W1','A3D3',4.00000,'EA','U',1.00000,100.000,4.00000,4.00000,6.53000000,True,No,'','',0,'','',90,'0',0.00000,'','','',0.00000,0.00000,'',0,753910,'',06/25/2019,14:48:20,'','','N','','','',''
'S/N10330',10015,'MT','.093619','','WEAR PAD CTWT 1" X 4 X 32','','W1','B2C',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,61.59000000,True,No,'','',0,'','',100,'0',0.00000,'','','',0.00000,0.00000,'',0,753911,'',06/25/2019,14:48:20,'','','N','','','',''
'S/N10330',10015,'MT','.093620','','WEAR PAD 5/8 X 4 X 4 COUNTERWEIGHT','','W1','A6 TOP',4.00000,'EA','U',1.00000,100.000,4.00000,0.00000,16.70000000,True,No,'','',0,'','',110,'0',0.00000,'','','',0.00000,0.00000,'',0,753912,'',07/15/2019,15:23:12,'','','N','','','',''
'S/N10330',10015,'MT','.093621','','WEAR PAD 3/4 X 4 X 4 COUNTERWEIGHT','','W1','A6 TOP',4.00000,'EA','U',1.00000,100.000,4.00000,4.00000,17.59000000,True,No,'','',0,'','',120,'0',0.00000,'','','',0.00000,0.00000,'',0,753913,'',06/25/2019,14:48:21,'','','N','','','',''
'S/N10330',10015,'MT','.093984','','PROX HOLDER  10 GA STAINLESS STEEL','','W1','A10H1',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,101.70000000,True,No,'','',0,'','',131,'0',0.00000,'','','',0.00000,0.00000,'',0,760646,'',06/25/2019,14:48:21,'','','N','','','',''
'S/N10330',10015,'MT','.093624','','PROX HOLDER CURVED 10 GA STAINLESS','','W1','U TOP',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,24.17000000,True,No,'','',0,'','',140,'0',0.00000,'','','',0.00000,0.00000,'',0,753915,'',06/25/2019,14:48:21,'','','N','','','',''
'S/N10330',10015,'MT','.098542','','CHAIN ROLLER  #80 STANDARD x 10 FT','','W1','D8 FLOOR',4.00000,'EA','U',1.00000,100.000,4.00000,4.00000,18.37000000,True,No,'','',0,'','',150,'0',0.00000,'','','',0.00000,0.00000,'',0,753916,'',06/25/2019,14:48:21,'','','N','','','',''
'S/N10330',10015,'MT','.098713','','MASTER LINK #80 CHAIN COTTER TYPE','DIAMOND NO C-3334CL-08-P','W1','A12D2',4.00000,'EA','U',1.00000,100.000,4.00000,4.00000,2.87000000,True,No,'','',0,'','',160,'0',0.00000,'','','',0.00000,0.00000,'',0,753917,'',06/25/2019,14:48:22,'','','N','','','',''
'S/N10330',10015,'MT','.093739','','HALF LINK #80 CHAIN COTTER TYPE','TSUBAKI RS80-1-OC  A116025','W1','A3E4',4.00000,'EA','U',1.00000,100.000,4.00000,4.00000,7.97000000,True,No,'','',0,'','',170,'0',0.00000,'','','',0.00000,0.00000,'',0,753918,'',06/25/2019,14:48:22,'','','N','','','',''
'S/N10330',10015,'MT','.093604','','SPROCKET MODIFIED #80, 18T','','W1','L3A',4.00000,'EA','U',1.00000,100.000,4.00000,4.00000,116.92000000,True,No,'','',0,'','',180,'0',0.00000,'','','',0.00000,0.00000,'',0,753919,'',06/25/2019,14:48:22,'','','N','','','',''
'S/N10330',10015,'MT','.093605','','SPROCKET SHAFT 2.500 4140 HT X 4.875','YELLOW ZINC','W1','A10E4',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,222.50000000,True,No,'','',0,'','',190,'0',0.00000,'','','',0.00000,0.00000,'',0,753920,'',06/25/2019,14:48:22,'','','N','','','',''
'S/N10330',10015,'MT','.093606','','SPROCKET CAP 1/4 x 3.50 DIA','YELLOW ZINC','W1','A9B2',4.00000,'EA','U',1.00000,100.000,4.00000,4.00000,25.80000000,True,No,'','',0,'','',200,'0',0.00000,'','','',0.00000,0.00000,'',0,753921,'',06/25/2019,14:48:23,'','','N','','','',''
'S/N10330',10015,'MT','.093608','','CHAIN ANCHOR 3/4 ASTM A514-B','YELLOW ZINC','W1','A8E1',4.00000,'EA','U',1.00000,100.000,4.00000,4.00000,65.90000000,True,No,'','',0,'','',210,'0',0.00000,'','','',0.00000,0.00000,'',0,753922,'',06/25/2019,14:48:23,'','','N','','','',''
'S/N10330',10015,'MT','.093609','','THREADED ROD 5/8-11 NC X 6 1/4','','W1','U TOP',4.00000,'EA','U',1.00000,100.000,4.00000,4.00000,4.15000000,True,No,'','',0,'','',220,'0',0.00000,'','','',0.00000,0.00000,'',0,753923,'',06/25/2019,14:48:23,'','','N','','','',''
'S/N10330',10015,'MT','.093684','','WELDMENT PROX TARGET REAR CTWT','YELLOW ZINC','W1','P1C',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,59.43000000,True,No,'','',0,'','',230,'0',0.00000,'','','',0.00000,0.00000,'',0,753924,'',06/25/2019,14:48:23,'','','N','','','',''
'S/N10330',10015,'MT','.095547','','CAPSCREW 3/4-10 UNC X 4" LG GR 8-','FULL THD PER  MC 92620A851','W1','A9C2',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,4.16000000,True,No,'','',0,'','',240,'0',0.00000,'','','',0.00000,0.00000,'',0,760601,'',06/25/2019,14:48:23,'','','N','','','',''
'S/N10330',10020,'MT','.093466','','CONTROL STORAGE WELDMENT - DUAL MAGNATEK','','W1','C1A',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,72.52000000,True,No,'','',0,'','',10,'0',0.00000,'','','',0.00000,0.00000,'',0,753925,'',07/10/2019,12:02:07,'','','N','','','',''
'S/N10330',10020,'MT','.096756','','DECK BODY BOX ALUM 48 X 18 X 18','020-FGXXDA-025','W1','GA FLOOR',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,668.90000000,True,No,'','',0,'','',20,'0',0.00000,'','','',0.00000,0.00000,'',0,754839,'',07/10/2019,09:34:53,'','','N','','','',''
'S/N10330',10025,'DW','A100975','','LED LIGHT SCHEMATIC','','','',1.00000,'','F',1.00000,100.000,1.00000,0.00000,0.00000000,True,No,'','',0,'','',10,'0',0.00000,'','','',0.00000,0.00000,'',0,753927,'PAT',12/20/2018,16:54:10,'','','N','','','',''
'S/N10330',10025,'MT','.095695','','LED ROUND AMBER FLASHING LAMP 2GA00FAR','W442DIN 3-WIRE   DEUTSCH PLUG','W1','C5B',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,65.53000000,True,No,'','',0,'','',20,'0',0.00000,'','','',0.00000,0.00000,'',0,753928,'',07/08/2019,09:20:55,'','','N','','','',''
'S/N10330',10025,'MT','.103566','','LED AMBER BEACON WHELEN L10HAP','','W1','C5B',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,73.75000000,True,No,'','',0,'','',30,'0',0.00000,'','','',0.00000,0.00000,'',0,753929,'',07/08/2019,09:20:55,'','','N','','','',''
'S/N10330',10025,'MT','.081277','','CABLE 18/3 WIRE SJEOOWA','','W1','ELECTRICAL RACK',75.00000,'FT','U',1.00000,100.000,75.00000,75.00000,0.25000000,True,No,'','',0,'','',40,'0',0.00000,'','','',0.00000,0.00000,'',0,753930,'',07/08/2019,09:20:55,'','','N','','','',''
'S/N10330',10025,'MT','.069584','','DEUTSCH RECEPTACLE  DT04-3P','','W1','A10E1',4.00000,'EA','U',1.00000,100.000,4.00000,4.00000,0.70000000,True,No,'','',0,'','',50,'0',0.00000,'','','',0.00000,0.00000,'',0,754670,'',07/08/2019,09:20:55,'','','N','','','',''
'S/N10330',10025,'MT','.069585','','DEUTSCH WEDGE W3P','','W1','A10I3',4.00000,'EA','U',1.00000,100.000,4.00000,4.00000,0.07000000,True,No,'','',0,'','',60,'0',0.00000,'','','',0.00000,0.00000,'',0,754671,'',07/08/2019,09:20:55,'','','N','','','',''
'S/N10330',10025,'MT','.069583','','DEUTSCH PIN 0460-202-16141','','W1','WAREHOUSE OFFICE',12.00000,'EA','U',1.00000,100.000,12.00000,12.00000,0.88000000,True,No,'','',0,'','',70,'0',0.00000,'','','',0.00000,0.00000,'',0,754672,'',07/08/2019,09:20:56,'','','N','','','',''
'S/N10330',10025,'MT','.069691','','DEUTSCH PLUG DT06-6S','','W1','A9I2',3.00000,'EA','U',1.00000,100.000,3.00000,3.00000,1.41000000,True,No,'','',0,'','',80,'0',0.00000,'','','',0.00000,0.00000,'',0,754673,'',07/08/2019,09:20:56,'','','N','','','',''
'S/N10330',10025,'MT','.069693','','DEUTSCH WEDGE W6S','','W1','A9I4',3.00000,'EA','U',1.00000,100.000,3.00000,3.00000,0.15000000,True,No,'','',0,'','',90,'0',0.00000,'','','',0.00000,0.00000,'',0,754674,'',07/08/2019,09:20:56,'','','N','','','',''
'S/N10330',10025,'MT','.067616','','DEUTSCH SOCKET 0462-201-16141','','W1','WAREHOUSE OFFICE',10.00000,'EA','U',1.00000,100.000,10.00000,10.00000,3.35000000,True,No,'','',0,'','',100,'0',0.00000,'','','',0.00000,0.00000,'',0,754675,'',07/08/2019,09:20:56,'','','N','','','',''
'S/N10330',10025,'MT','.069345','','DEUTSCH SEALING PLUG 114017','','W1','WAREHOUSE OFFICE',8.00000,'EA','U',1.00000,100.000,8.00000,8.00000,0.15000000,True,No,'','',0,'','',110,'0',0.00000,'','','',0.00000,0.00000,'',0,754676,'',07/08/2019,09:20:56,'','','N','','','',''
'S/N10330',10025,'MT','.091136','','DEUTSCH RECEPTACLE BUSS  DT04-6P-EP14','(2) 3-PIN BUSS','W1','A9H1',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,9.41000000,True,No,'','',0,'','',120,'0',0.00000,'','','',0.00000,0.00000,'',0,754677,'',07/08/2019,09:20:56,'','','N','','','',''
'S/N10330',10025,'MT','.091119','','DEUTSCH RECEPTACLE BUSS  DT04-6P-EP13','(1) 6-PIN BUSS','W1','A9I5',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,7.58000000,True,No,'','',0,'','',130,'0',0.00000,'','','',0.00000,0.00000,'',0,754678,'',07/08/2019,09:20:57,'','','N','','','',''
'S/N10330',10030,'DW','A069740','','LIGHT AND TRAILER CABLE SCHEMATIC CALTRA','','','',1.00000,'','F',1.00000,100.000,1.00000,0.00000,0.00000000,True,No,'','',0,'','',10,'0',0.00000,'','','',0.00000,0.00000,'',0,753931,'PAT',12/20/2018,16:54:11,'','','N','','','',''
'S/N10330',10030,'MT','.069740','','LIGHT KIT LED','','W1','F FLOOR',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,847.31000000,True,No,'','',0,'','',20,'0',0.00000,'','','',0.00000,0.00000,'',0,753932,'',07/08/2019,09:20:57,'','','N','','','',''
'S/N10330',10030,'MT','.066427','','LIGHT COVER-STREETSIDE','16 GA X 22 X 22','W1','F3C',1.00000,'EA','U',1.00000,100.000,1.00000,2.00000,98.05000000,True,No,'','',0,'','',30,'0',0.00000,'','','',0.00000,0.00000,'',0,753933,'',07/24/2019,15:17:24,'','','N','','','',''
'S/N10330',10030,'MT','.066418','','LIGHT COVER-CURBSIDE','16 GA X 22 X 22','W1','F3B',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,98.05000000,True,No,'','',0,'','',40,'0',0.00000,'','','',0.00000,0.00000,'',0,753934,'',07/08/2019,09:20:58,'','','N','','','',''
'S/N10330',10030,'MT','.065687','','BACK UP ALARM PRECO 240','','W1','D2A',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,28.40000000,True,No,'','',0,'','',50,'0',0.00000,'','','',0.00000,0.00000,'',0,753935,'',07/24/2019,15:17:24,'','','N','','','',''
'S/N10330',10035,'DW','B097450','','REAR AXLE LOCK ASSEMBLY PROX SWITCHES','','','',1.00000,'','F',1.00000,100.000,1.00000,0.00000,0.00000000,True,No,'','',0,'','',10,'0',0.00000,'','','',0.00000,0.00000,'',0,753936,'PAT',12/20/2018,16:54:11,'','','N','','','',''
'S/N10330',10035,'MT','.102588','','PIN WELDMENT CRR 1 X 4 1/8','PLATE YELLOW ZINC','W1','A7H3',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,20.00000000,True,No,'','',0,'','',20,'0',0.00000,'','','',0.00000,0.00000,'',0,754685,'',06/28/2019,15:13:36,'','','N','','','',''
'S/N10330',10035,'MT','.102817','','SHIM PLATE REAR AXLE LOCK 1/8','','W1','GA FLOOR',4.00000,'EA','U',1.00000,100.000,4.00000,4.00000,100.00000000,True,No,'','',0,'','',21,'0',0.00000,'','','',0.00000,0.00000,'',0,760432,'',06/28/2019,15:13:36,'','','N','','','',''
'S/N10330',10035,'MT','.102590','','PIN WELDMENT CRR 1 X 4 9/16','PLATE YELLOW ZINC','W1','A7G4',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,20.00000000,True,No,'','',0,'','',30,'0',0.00000,'','','',0.00000,0.00000,'',0,754686,'',06/28/2019,15:13:36,'','','N','','','',''
'S/N10330',10035,'MT','.102595','','REAR AXLE LOCK SUBFRAME MOUNT LH','','W1','',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,550.00000000,True,No,'','',0,'','',40,'0',0.00000,'','','',0.00000,0.00000,'',0,754687,'',06/28/2019,15:13:36,'','','N','','','',''
'S/N10330',10035,'MT','.102596','','REAR AXLE LOCK SUBFRAME MOUNT RH','','W1','',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,550.00000000,True,No,'','',0,'','',50,'0',0.00000,'','','',0.00000,0.00000,'',0,754688,'',06/28/2019,15:13:36,'','','N','','','',''
'S/N10330',10035,'MT','.102604','','CLAMP CYLINDER 3/16" STAINLESS STEEL','','W1','A11 TOP',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,17.63000000,True,No,'','',0,'','',60,'0',0.00000,'','','',0.00000,0.00000,'',0,754689,'',06/28/2019,15:13:36,'','','N','','','',''
'S/N10330',10035,'MT','.102605','','AXLE LOCK BLADE COVER 1/4 100 XF','','W1','',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,50.00000000,True,No,'','',0,'','',70,'0',0.00000,'','','',0.00000,0.00000,'',0,754690,'',06/28/2019,15:13:36,'','','N','','','',''
'S/N10330',10035,'MT','.102607','','AXLE LOCKOUT BLADE WELDMENT','','W1','E1B',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,93.41000000,True,No,'','',0,'','',80,'0',0.00000,'','','',0.00000,0.00000,'',0,754691,'',06/28/2019,15:13:37,'','','N','','','',''
'S/N10330',10035,'MT','.102609','','PROX HOLDER RR AXLE 10 GA SS','REAR AXLE LOCK','W1','A12E5',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,19.06000000,True,No,'','',0,'','',90,'0',0.00000,'','','',0.00000,0.00000,'',0,754692,'',06/28/2019,15:13:37,'','','N','','','',''
'S/N10330',10035,'MT','.102610','','WEAR PAD 3/8" 3.25 X 5.44" UHMW','','W1','A2D2',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,10.20000000,True,No,'','',0,'','',100,'0',0.00000,'','','',0.00000,0.00000,'',0,754693,'',06/28/2019,15:13:37,'','','N','','','',''
'S/N10330',10035,'MT','.102611','','LOCKOUT WELDMENT- REAR AXLE LOCK','COURSE THREAD','W1','E1A',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,227.18000000,True,No,'','',0,'','',110,'0',0.00000,'','','',0.00000,0.00000,'',0,754694,'',06/28/2019,15:13:37,'','','N','','','',''
'S/N10330',10035,'MT','.102616','','LOCK BAR ADJUSTING HOUSING WELDMENT','COURSE THREAD','W1','E1A',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,203.01000000,True,No,'','',0,'','',120,'0',0.00000,'','','',0.00000,0.00000,'',0,754695,'',06/28/2019,15:13:37,'','','N','','','',''
'S/N10330',10035,'MT','.102625','','WELDMENT SPRING LOCK CAP RT SUSPENSION','','W1','E1A',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,263.71000000,True,No,'','',0,'','',130,'0',0.00000,'','','',0.00000,0.00000,'',0,754696,'',06/28/2019,15:13:37,'','','N','','','',''
'S/N10330',10035,'MT','.062982','','CYLINDER 3 X 9  REAR AXLE LOCK TANDEM','BARREL OD 3.375','W1','E2A',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,364.00000000,True,No,'','',0,'','',140,'0',0.00000,'','','',0.00000,0.00000,'',0,754697,'',06/28/2019,15:13:37,'','','N','','','',''
'S/N10330',10035,'MT','.023035','','SNAP RING 1" X .078 ZINC 5160-098 ZYT','','W1','A4A3',4.00000,'EA','U',1.00000,100.000,4.00000,8.00000,0.33000000,True,No,'','',0,'','',151,'0',0.00000,'','','',0.00000,0.00000,'',0,760446,'',07/11/2019,11:17:13,'','','N','','','',''
'S/N10330',10035,'MT','.097251','','NUT JAM 1+1/2 -6 NC GRADE 8','93839A043','W1','A1B3',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,9.05000000,True,No,'','',0,'','',160,'0',0.00000,'','','',0.00000,0.00000,'',0,754699,'',06/28/2019,15:13:38,'','','N','','','',''
'S/N10330',10035,'MT','.104518','','CAPSCREW 1-14 NF X 10 1/2 GR 8 ZINC','','W1','',0.00000,'EA','F',1.00000,100.000,0.00000,8.00000,31.60000000,True,No,'','',0,'','',5170000,'0',0.00000,'','','',0.00000,0.00000,'',0,764985,'',07/01/2019,15:19:25,'','','','','','',''
'S/N10330',10035,'MT','.064071','','HUCK BOLT HP8F-DT24-20','','W1','',0.00000,'EA','F',1.00000,100.000,0.00000,30.00000,1.64000000,True,No,'','',0,'','',5190000,'0',0.00000,'','','',0.00000,0.00000,'',0,765000,'',07/03/2019,15:15:35,'','','','','','',''
'S/N10330',10040,'DW','B096925','','AXLE LOCK ASSEMBLY DS PROX SWITCH','','','',1.00000,'','F',1.00000,100.000,1.00000,0.00000,0.00000000,True,No,'','',0,'','',10,'0',0.00000,'','','',0.00000,0.00000,'',0,753953,'PAT',12/20/2018,16:54:12,'','','N','','','',''
'S/N10330',10040,'DW','B096926','','AXLE LOCK ASSEMBLY CS PROX SWITCH','','','',1.00000,'','F',1.00000,100.000,1.00000,0.00000,0.00000000,True,No,'','',0,'','',20,'0',0.00000,'','','',0.00000,0.00000,'',0,753954,'PAT',12/20/2018,16:54:12,'','','N','','','',''
'S/N10330',10040,'MT','.102553','','CYLINDER 3 X 3.50  FRONT AXLE LOCK','','W1','L FLOOR C',2.00000,'EA','U',1.00000,100.000,2.00000,2.00000,689.82000000,True,No,'','',0,'','',30,'0',0.00000,'','','',0.00000,0.00000,'',0,754700,'',06/28/2019,15:13:39,'','','N','','','',''
'S/N10330',10040,'MT','.102523','','AXLE LOCK WELDMENT LH FRONT LOW MOUNT','','W1','L3C',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,395.00000000,True,No,'','',0,'','',40,'0',0.00000,'','','',0.00000,0.00000,'',0,754701,'',06/28/2019,15:13:39,'','','N','','','',''
'S/N10330',10040,'MT','.102524','','AXLE LOCK WELDMENT RH FRONT LOW MOUNT','','W1','L3C',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,395.00000000,True,No,'','',0,'','',50,'0',0.00000,'','','',0.00000,0.00000,'',0,754702,'',06/28/2019,15:13:39,'','','N','','','',''
'S/N10330',10040,'MT','.102525','','AXLE LOCK JAW LH LOW PROFILE','','W1','L3C',1.00000,'EA','U',1.00000,100.000,1.00000,1.00000,192.00000000,True,No,'','',0,'','',60,'0',0.00000,'','','',0.00000,0.00000,'',0,754703,'',06/28/2019,15:13:39,'','','N','','','',''
